@relation InstanceResultListener

@attribute Key_Dataset {pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,ionosphere-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,tic-tac-toe-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.OneR,weka.classifiers.rules.PART,weka.classifiers.lazy.IBk,weka.classifiers.bayes.NaiveBayes,weka.classifiers.trees.J48,weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-B 6','-C 0.25 -M 2','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {-3459427003147861443,8121455039782598361,-3080186098777067172,5995231201785697655,-217733168393644444,1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of rules: 5\n','Number of rules: 8\n','Number of rules: 6\n','Number of rules: 11\n','Number of rules: 7\n','Number of rules: 10\n','Number of rules: 12\n','Number of rules: 9\n','Number of rules: 4\n','Number of rules: 13\n','Number of rules: 34\n','Number of rules: 37\n','Number of rules: 43\n','Number of rules: 41\n','Number of rules: 40\n','Number of rules: 39\n','Number of rules: 33\n','Number of rules: 36\n','Number of rules: 44\n','Number of rules: 32\n','Number of rules: 38\n','Number of rules: 35\n','Number of rules: 30\n','Number of rules: 46\n','Number of rules: 42\n','Number of rules: 53\n','Number of rules: 29\n','Number of rules: 45\n','Number of rules: 27\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 81\nSize of the tree: 121\n','Number of leaves: 85\nSize of the tree: 127\n','Number of leaves: 83\nSize of the tree: 124\n','Number of leaves: 69\nSize of the tree: 103\n','Number of leaves: 97\nSize of the tree: 145\n','Number of leaves: 67\nSize of the tree: 100\n','Number of leaves: 71\nSize of the tree: 106\n','Number of leaves: 87\nSize of the tree: 130\n','Number of leaves: 65\nSize of the tree: 97\n','Number of leaves: 93\nSize of the tree: 139\n','Number of leaves: 75\nSize of the tree: 112\n','Number of leaves: 79\nSize of the tree: 118\n','Number of leaves: 77\nSize of the tree: 115\n','Number of leaves: 73\nSize of the tree: 109\n','Number of leaves: 95\nSize of the tree: 142\n','Number of leaves: 61\nSize of the tree: 91\n','Number of leaves: 91\nSize of the tree: 136\n','Number of leaves: 89\nSize of the tree: 133\n','Number of leaves: 63\nSize of the tree: 94\n'}
@attribute measureNumRules numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureOutOfBagError numeric

@data

pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,1,1,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,621,70,53,17,0,75.714286,24.285714,0,0.446512,0.242857,0.492805,53.127665,102.83664,65.831562,18258,-18192.168438,0.940451,260.828571,-259.888121,29.515919,0.421656,44.835514,0.866667,39,0.44,11,0.56,14,0.133333,6,0.78,0.866667,0.821053,0.452548,0.713333,0.761714,0.757143,0.330476,0.669524,0.242857,0.751429,0.757143,0.750042,0.452548,0.713333,0.685796,0.721637,0.757143,0.019,0,0,0,0,0,1302,64286,8635,75.714286,50,?,?,?,?,?
pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,1,2,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,622,69,51,18,0,73.913043,26.086957,0,0.404602,0.26087,0.510754,56.893932,106.220088,65.213365,19332,-19266.786635,0.945121,280.173913,-279.228792,26.742249,0.387569,41.007314,0.863636,38,0.48,12,0.52,13,0.136364,6,0.76,0.863636,0.808511,0.412814,0.691818,0.74332,0.73913,0.355494,0.644506,0.26087,0.73254,0.73913,0.729669,0.412814,0.691818,0.665922,0.69971,0.73913,0.003,0,0,0,0,0,1302,64387,8534,73.913043,50,?,?,?,?,?
pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,1,3,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,622,69,52,17,0,75.362319,24.637681,0,0.404871,0.246377,0.496364,54.191571,104.214396,64.317849,18258,-18193.682151,0.932143,264.608696,-263.676553,28.035782,0.406316,43.589426,0.911111,41,0.541667,13,0.458333,11,0.088889,4,0.759259,0.911111,0.828283,0.426598,0.684722,0.749741,0.753623,0.384179,0.615821,0.246377,0.750242,0.753623,0.736394,0.426598,0.684722,0.671402,0.696193,0.753623,0.003,0,0,0,0,0,1302,64387,8534,75.362319,50,?,?,?,?,?
pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,1,4,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,622,69,49,20,0,71.014493,28.985507,0,0.27673,0.289855,0.538382,63.754789,113.036384,64.317849,21480,-21415.682151,0.932143,311.304348,-310.372205,21.633064,0.313523,33.634619,0.911111,41,0.666667,16,0.333333,8,0.088889,4,0.719298,0.911111,0.803922,0.30716,0.622222,0.713332,0.710145,0.4657,0.5343,0.289855,0.700992,0.710145,0.678886,0.30716,0.622222,0.623166,0.624183,0.710145,0.003,0,0.01,0,10,0,1326,64387,8534,71.014493,50,?,?,?,?,?
pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,1,5,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,622,69,53,16,0,76.811594,23.188406,0,0.421384,0.231884,0.481543,51.003831,101.102815,64.317849,17184,-17119.682151,0.932143,249.043478,-248.111336,30.170021,0.437247,46.907695,0.955556,43,0.583333,14,0.416667,10,0.044444,2,0.754386,0.955556,0.843137,0.46772,0.686111,0.749843,0.768116,0.395894,0.604106,0.231884,0.781846,0.768116,0.743109,0.46772,0.686111,0.680375,0.699346,0.768116,0.003,0,0,0,0,0,1302,64387,8534,76.811594,50,?,?,?,?,?
pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,1,6,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,622,69,55,14,0,79.710145,20.289855,0,0.552778,0.202899,0.450443,44.628352,94.573024,64.317849,15036,-14971.682151,0.932143,217.913043,-216.980901,34.438499,0.499109,53.544233,0.844444,38,0.291667,7,0.708333,17,0.155556,7,0.844444,0.844444,0.844444,0.552778,0.776389,0.814536,0.797101,0.244324,0.755676,0.202899,0.797101,0.797101,0.797101,0.552778,0.776389,0.741023,0.776389,0.797101,0.002,0.001,0,0,0,0,1350,64387,8534,79.710145,50,?,?,?,?,?
pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,1,7,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,622,69,48,21,0,69.565217,30.434783,0,0.232114,0.304348,0.551677,66.942529,115.827826,64.317849,22554,-22489.682151,0.932143,326.869565,-325.937422,19.498824,0.282592,30.31635,0.911111,41,0.708333,17,0.291667,7,0.088889,4,0.706897,0.911111,0.796117,0.263829,0.601389,0.702032,0.695652,0.492874,0.507126,0.304348,0.682363,0.695652,0.658337,0.263829,0.601389,0.608102,0.598058,0.695652,0.003,0,0,0,0,0,1326,64387,8534,69.565217,50,?,?,?,?,?
pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,1,8,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,622,69,50,19,0,72.463768,27.536232,0,0.362044,0.275362,0.52475,60.56705,110.174239,64.317849,20406,-20341.682151,0.932143,295.73913,-294.806988,23.767303,0.344454,36.952888,0.844444,38,0.5,12,0.5,12,0.155556,7,0.76,0.844444,0.8,0.367256,0.672222,0.743227,0.724638,0.380193,0.619807,0.275362,0.715332,0.724638,0.715875,0.367256,0.672222,0.655045,0.67907,0.724638,0.003,0,0.01,0,10,0,1302,64387,8534,72.463768,50,?,?,?,?,?
pima_diabetes-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P90.0-V,1,9,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20220305.1256,622,69,48,21,0,69.565217,30.434783,0,0.280179,0.304348,0.551677,66.942529,115.827826,64.317849,22554,-22489.682151,0.932143,326.869565,-325.937422,19.498824,0.282592,30.31635,0.844444,38,0.583333,14,0.416667,10,0.155556,7,0.730769,0.844444,0.783505,0.28861,0.630556,0.718543,0.695652,0.434541,0.565459,0.304348,0.681192,0.695652,0.680653,0.28861,0.630556,0.62444,0.635655,0.695652,0.004,0,0,0,0,0,1326,64387,8534,69.565217,50,?,?,?,?,?
